Date,Affected URLs
2026-05-11,45
2026-05-12,44
2026-05-13,51
2026-05-14,52
2026-05-15,52
2026-05-16,53
2026-05-17,55
2026-05-18,55
2026-05-19,54
2026-05-20,53
2026-05-21,55
2026-05-22,57
2026-05-23,57
2026-05-24,56
2026-05-25,56
2026-05-26,57
2026-05-27,58
2026-05-28,57
2026-05-29,58
2026-05-30,57
2026-05-31,58
2026-06-01,58
2026-06-02,58
2026-06-03,54
2026-06-04,60
2026-06-05,58
2026-06-06,57
2026-06-07,56
2026-06-08,56
2026-06-09,55
2026-06-10,56
2026-06-11,56
2026-06-12,56
2026-06-13,55
2026-06-14,54
2026-06-15,57
2026-06-16,57
2026-06-17,58
2026-06-18,58
2026-06-19,59
2026-06-20,64
2026-06-21,64
2026-06-22,64
2026-06-23,64
2026-06-24,65
2026-06-25,65
2026-06-26,67
2026-06-27,67
2026-06-28,67
2026-06-29,67
2026-06-30,70
2026-07-01,69
2026-07-02,70
2026-07-03,71
2026-07-04,70
2026-07-05,73
2026-07-06,72
2026-07-07,72
2026-07-08,73
2026-07-09,75
2026-07-10,81
2026-07-11,81
2026-07-12,83
2026-07-13,85
2026-07-14,85
2026-07-15,86
2026-07-16,84
2026-07-17,82
2026-07-18,83
2026-07-19,85
2026-07-20,84
2026-07-21,86
2026-07-22,86
2026-07-23,87
2026-07-24,87
2026-07-25,86
2026-07-26,84
2026-07-27,86
2026-07-28,86
2026-07-29,86
2026-07-30,85
2026-07-31,86
2026-08-01,96
2026-08-02,97
2026-08-03,97
2026-08-04,98
2026-08-05,99
2026-08-06,101
2026-08-07,101
2026-08-08,100
